model,arg,all,nucleus,membrane
gaussian_filter,sigma=0.432,0.12412171280251984,0.11009886505903574,0.1607579816818927
gaussian_filter,sigma=0.434,0.12479455965923124,0.11063416131942069,0.161790194961439
gaussian_filter,sigma=0.438,0.12525408808119962,0.11114096885168998,0.16212620138352205
gaussian_filter,sigma=0.44,0.12573788102430286,0.11146784576597447,0.16301995512263837
gaussian_filter,sigma=0.442,0.12414964745617622,0.11030871615155075,0.1603106391529455
gaussian_filter,sigma=0.452,0.12257046829403048,0.10826877734539558,0.15993524644812168
gaussian_filter,sigma=0.476,0.1163385257703253,0.09866379058576447,0.16251576183809688
gaussian_filter,sigma=0.478,0.11208310249292183,0.09521033345169108,0.15616511169974093
gaussian_filter,sigma=0.48,0.11211234620619331,0.09508836961586986,0.1565894021628942
gaussian_filter,sigma=0.482,0.11160480457203924,0.09424301167441615,0.15696444367393741
gaussian_filter,sigma=0.484,0.1105427204159486,0.09282894128684714,0.15682196318567318
gaussian_filter,sigma=0.486,0.10931037606007313,0.09116307625593958,0.15672224041321484
gaussian_filter,sigma=0.488,0.10919074673930605,0.09058733771537394,0.1577942477928223
gaussian_filter,sigma=0.494,0.10090900158189581,0.08176528869912175,0.15092410731166578
gaussian_filter,sigma=0.496,0.10019067217001483,0.08067705333343901,0.1511721988601679
gaussian_filter,sigma=0.498,0.0992069392279658,0.07933151543315767,0.15113372211530238
gaussian_filter,sigma=0.502,0.0973213112688317,0.07785306962327421,0.14818428493740537
gaussian_filter,sigma=0.504,0.09662146558979506,0.0771761071392836,0.14742465433437457
gaussian_filter,sigma=0.506,0.09678459247570159,0.0768814667708302,0.14878374972266295
gaussian_filter,sigma=0.508,0.08612686644772516,0.0663656643960027,0.13775523216844157
gaussian_filter,sigma=0.51,0.0858143279355836,0.06592981054482132,0.13776486886640402
gaussian_filter,sigma=0.512,0.08496852325368438,0.06467463841261853,0.13798858274836098
gaussian_filter,sigma=0.514,0.08267566711172544,0.06306746929856193,0.13390429202899953
gaussian_filter,sigma=0.516,0.0822136246840612,0.06213795821062845,0.13466356411915578
gaussian_filter,sigma=0.518,0.07965847524411201,0.05976995772549106,0.13161946695942806
gaussian_filter,sigma=0.52,0.07810031181451581,0.057627428239273824,0.1315880256597426
gaussian_filter,sigma=0.522,0.0775756856220904,0.05660090722980707,0.13237465619652433
gaussian_filter,sigma=0.524,0.0761000924962143,0.05519345400772661,0.1307210398985696
gaussian_filter,sigma=0.526,0.07610165005220361,0.05453441242930861,0.13244848708499235
gaussian_filter,sigma=0.528,0.05982726475449252,0.036891573029926406,0.11974934223308867
gaussian_filter,sigma=0.53,0.056737380574269594,0.035033307727628984,0.11344171503846577
gaussian_filter,sigma=0.532,0.05566546455765217,0.034349180163547405,0.11135665801972768
gaussian_filter,sigma=0.534,0.05552098782797545,0.03337501481591275,0.113379836237869
gaussian_filter,sigma=0.536,0.05423504371502666,0.03157272690153321,0.11344289845298251
gaussian_filter,sigma=0.538,0.051795943608360595,0.030260881265065164,0.1080587190998532
gaussian_filter,sigma=0.54,0.0501855008438928,0.02815494943411987,0.10774279731987613
gaussian_filter,sigma=0.542,0.04636580992544973,0.024907237046207287,0.1024287480784255
gaussian_filter,sigma=0.544,0.04665974799901155,0.024769001408746973,0.10385178864024333
gaussian_filter,sigma=0.546,0.04549339192669203,0.0230477031373124,0.10413528155660275
gaussian_filter,sigma=0.548,0.04465006874930259,0.021778107155061666,0.10440564408560771
