model,arg,all,nucleus,membrane
gaussian_filter,sigma=0.0,0.0,0.0,0.0
gaussian_filter,sigma=0.05,0.0,0.0,0.0
gaussian_filter,sigma=0.1,0.0,0.0,0.0
gaussian_filter,sigma=0.15,0.001705325749746879,0.0014266254504521688,0.0025331484209192862
gaussian_filter,sigma=0.2,0.001705325749746879,0.0014266254504521688,0.0025331484209192862
gaussian_filter,sigma=0.25,0.0017054729033586687,0.0014267400900522867,0.002533392150803368
gaussian_filter,sigma=0.3,0.0017596090820959382,0.0014965887864430746,0.002540857485025236
gaussian_filter,sigma=0.35,0.0031455434171338927,0.0032244070370992025,0.0029112950409993085
gaussian_filter,sigma=0.4,0.0057534046303898915,0.006129517356554667,0.004636238117029171
gaussian_filter,sigma=0.45,0.007173718508342258,0.007316755652427673,0.006748855704128152
gaussian_filter,sigma=0.5,0.006343964626664236,0.005899800856908163,0.007663262952672373
gaussian_filter,sigma=0.55,0.004229736595677021,0.0029939353466033936,0.00790043337510364
gaussian_filter,sigma=0.6,0.0017211052247710953,-0.0002389158805211385,0.0075429500919757505
gaussian_filter,sigma=0.65,-0.0005247585494024795,-0.003124876419703166,0.007198363837629261
gaussian_filter,sigma=0.7,-0.002584697302440158,-0.005544893940289815,0.0062079659783013975
gaussian_filter,sigma=0.75,-0.004203089157542088,-0.007615405122439066,0.005932502817399431
gaussian_filter,sigma=0.8,-0.005491019781688205,-0.009058154026667277,0.00510442847072488
gaussian_filter,sigma=0.85,-0.006615584627945821,-0.010425301790237427,0.004700406943217363
gaussian_filter,sigma=0.9,-0.007347103663513488,-0.0113236137231191,0.004464312355117042
gaussian_filter,sigma=0.95,-0.00802702871046756,-0.012086052298545837,0.0040294769966956415
gaussian_filter,sigma=1.0,-0.008708206198161974,-0.012895328601201376,0.003728791038588722
gaussian_filter,sigma=1.05,-0.009267473458649214,-0.013477996985117594,0.003239032065514291
gaussian_filter,sigma=1.1,-0.009703338889409776,-0.013971092303593953,0.0029731564002461954
gaussian_filter,sigma=1.15,-0.010091183637443029,-0.014396773775418599,0.0026976979605042107
gaussian_filter,sigma=1.2,-0.010442052844753883,-0.014755777716636657,0.002370991329155346
gaussian_filter,sigma=1.25,-0.010767672424601795,-0.015067441662152608,0.0020039193701035904
gaussian_filter,sigma=1.3,-0.011049273899963075,-0.015321258306503296,0.0016397886937207515
gaussian_filter,sigma=1.35,-0.01135717648223154,-0.015599899689356485,0.0012449716577435483
gaussian_filter,sigma=1.4,-0.011602789832469531,-0.015778746406237283,0.000801041574761419
gaussian_filter,sigma=1.45,-0.011936313790870724,-0.016043643554051717,0.00026367560471638596
gaussian_filter,sigma=1.5,-0.012288586605814033,-0.01627384384473165,-0.000451188866454776
gaussian_filter,sigma=1.55,-0.012654391161521474,-0.01658678352832794,-0.0009740177947695893
gaussian_filter,sigma=1.6,-0.012881291923380256,-0.016709819038709006,-0.0015094292045819877
gaussian_filter,sigma=1.65,-0.013160412596942778,-0.0168909627199173,-0.002079570647513512
gaussian_filter,sigma=1.7,-0.013426212449918066,-0.01703875482082367,-0.0026958885759410293
gaussian_filter,sigma=1.75,-0.013714099465462929,-0.017237842082977295,-0.0032475372352222406
gaussian_filter,sigma=1.8,-0.013965447644640383,-0.01735749880472819,-0.003890048159231054
gaussian_filter,sigma=1.85,-0.014265912726632971,-0.017491342624028523,-0.004685427882883808
gaussian_filter,sigma=1.9,-0.014596323419984736,-0.017690528432528177,-0.005405615461934911
gaussian_filter,sigma=1.95,-0.014928825181024032,-0.017883573770523072,-0.006152344222115998
gaussian_filter,sigma=2.0,-0.015280369808549,-0.0180765571196874,-0.0069748629437814845
gaussian_filter,sigma=2.05,-0.015596770586218323,-0.01823328991731008,-0.007765525048322017
gaussian_filter,sigma=2.1,-0.015942390571508622,-0.018421706954638163,-0.008578084483005033
gaussian_filter,sigma=2.15,-0.016313419229074606,-0.01864274561405182,-0.009394627986568035
gaussian_filter,sigma=2.2,-0.016666083264529258,-0.018824438254038494,-0.010255127850145396
gaussian_filter,sigma=2.25,-0.017027393392196617,-0.018980374932289122,-0.011226458124595114
gaussian_filter,sigma=2.3,-0.01737333607495277,-0.019150917331377665,-0.01209339174893823
gaussian_filter,sigma=2.35,-0.01774561107901861,-0.0193431693315506,-0.013000388546745376
gaussian_filter,sigma=2.4,-0.018144679485711076,-0.019533778031667073,-0.014018644200693263
gaussian_filter,sigma=2.45,-0.018546237018042967,-0.019750195145606993,-0.014970123767852783
gaussian_filter,sigma=2.5,-0.01898227858721764,-0.0199775360027949,-0.016026068441938646
gaussian_filter,sigma=2.55,-0.019461522970413626,-0.02025877813498179,-0.017093438323181453
gaussian_filter,sigma=2.6,-0.01993392589978149,-0.02043702483177185,-0.01843957263644379
gaussian_filter,sigma=2.65,-0.020367380389548894,-0.020669756730397542,-0.0194692328424737
gaussian_filter,sigma=2.7,-0.02082911170926177,-0.020911924839019776,-0.020583132115921172
gaussian_filter,sigma=2.75,-0.021196650893908188,-0.021068230271339417,-0.02157809828767682
gaussian_filter,sigma=2.8,-0.02165128257209226,-0.021291529734929402,-0.022719855355744313
gaussian_filter,sigma=2.85,-0.022054066830442434,-0.021446226835250853,-0.02385953216269465
gaussian_filter,sigma=2.9,-0.022514742508790736,-0.021666623751322427,-0.025033907134934228
gaussian_filter,sigma=2.95,-0.022989908358699962,-0.0219430810213089,-0.026099296489564498
gaussian_filter,sigma=3.0,-0.02348859381497352,-0.02220031479994456,-0.027315165146742718
gaussian_filter,sigma=3.05,-0.02393811331722802,-0.022390687266985575,-0.028534428317948144
gaussian_filter,sigma=3.1,-0.024393951209108727,-0.02259783923625946,-0.02972893726707685
gaussian_filter,sigma=3.15,-0.024869654838581036,-0.022835538983345033,-0.03091158312146026
gaussian_filter,sigma=3.2,-0.02535868226144082,-0.023072527647018434,-0.03214924052210137
gaussian_filter,sigma=3.25,-0.025824340650268326,-0.023274935086568197,-0.033396832423635045
gaussian_filter,sigma=3.3,-0.026336294011284882,-0.023500678340593974,-0.03475891481531729
gaussian_filter,sigma=3.35,-0.026853580575928723,-0.02377649406592051,-0.035993441496745195
gaussian_filter,sigma=3.4,-0.027372370337012997,-0.02405271311601003,-0.037232738320190126
gaussian_filter,sigma=3.45,-0.027870280486984443,-0.024261479377746583,-0.038589491702542444
gaussian_filter,sigma=3.5,-0.02845535596409938,-0.024602837165196737,-0.039898481109354754
gaussian_filter,sigma=3.55,-0.02896585488259941,-0.02483625054359436,-0.04123200638459461
gaussian_filter,sigma=3.6,-0.02953828302702107,-0.025143510500590008,-0.042592062808499476
gaussian_filter,sigma=3.65,-0.030007489750212862,-0.02536147952079773,-0.043807520134614246
